"ID","ADDRESS","CITY","STATE","ZIP","ListPrice","BEDS","BATHS","LOCATION","SQFT","LotSize","YearBuilt","ParkingSpots","HasGarage","DOM","LastSaleDate","SoldPrev","Realty","LATITUDE","LONGITUDE","ShortSale"
4427366,"1215 Eleanor Ave","St. Paul","MN",55116,750000,5,"3,5","Highland",3849,13503,1933,3,"Garage",77,,"N","Edina Realty, Inc.","44,920876","-93,151428","N"
4385684,"1231 Kent St","St. Paul","MN",55117,140000,3,"1,5","North End/South Como",1167,8712,1915,2,"Garage",137,,"N","Success Realty","44,978348","-93,124138","N"
4439862,"1234 Fremont Ave","St. Paul","MN",55106,139900,2,1,"Dayton's Bluff",1530,9147,1950,1,"Garage",9,25/9/2009,"Y","Coldwell Banker Burnet","44,957508","-93,048401","N"
4432015,"1235 Bush Ave","St. Paul","MN",55106,90000,3,1,"Dayton's Bluff",1308,5227,1880,4,"Garage",57,,"N","EXIT Realty Metro","44,965187","-93,048447","Y"
4356611,"1240 Rice St","St. Paul","MN",55117,150000,2,1,"North End/South Como",759,,1919,2,"Garage",137,,"N","DirectByOwner.com","44,978516","-93,105553","N"
4433294,"1244 Van Buren Ave","St. Paul","MN",55104,169900,4,"1,5","Hamline-Midway",1744,4791,1890,0,"No Garage",50,,"N","Advisors Realty Inc.","44,961803","-93,152847","N"
4438065,"1245 7th St E","St. Paul","MN",55106,124000,3,"2,5","Dayton's Bluff",1700,9147,1915,2,"Garage",18,22/8/2012,"Y","Empire Realty LLC","44,966984","-93,047867","N"
4397477,"1252 Watson Ave","St. Paul","MN",55116,159900,2,1,"Highland",1120,4791,1940,1,"Garage",137,,"N","RE/MAX Results","44,923996","-93,153175","N"
4441330,"1255 Wellesley Ave","St. Paul","MN",55105,299500,3,"1,75","Macalester-Groveland",1395,4791,1927,2,"Garage",2,,"N","Re/Max Prodigy","44,931755","-93,153152","N"
4433367,"1259 Jessie St","St. Paul","MN",55130,129850,3,1,"Payne-Phalen",1382,5227,1929,2,"Garage",49,10/5/2013,"Y","Keller Williams Integrity RE","44,979248","-93,077744","N"
"WCMN6003966","1260 Juliet Avenue","St. Paul","MN",55105,215900,2,1,"St. Paul",720,,1923,2,"Garage",137,,"N","123 Realty LLC","44,929428","-93,153481","N"
4423161,"1264 Point Douglas Rd S","St. Paul","MN",55119,199000,4,"1,25","Battle Creek-Highwood",1887,125888,1885,2,"Garage",96,,"N","Realty Results","44,903839","-93,009346","N"
4418739,"1269 Dale St N","St. Paul","MN",55117,159900,3,1,"Como",1184,10454,1931,5,"Garage",110,,"N","Coldwell Banker Burnet","44,979492","-93,126785","N"
4421328,"1271 4th St E","St. Paul","MN",55106,134990,3,1,"Dayton's Bluff",1774,5227,1921,4,"Garage",103,31/7/2013,"Y","RE/MAX Results","44,958855","-93,046776","N"
4439566,"1274 Albemarle St","St. Paul","MN",55117,99000,2,1,"North End/South Como",960,5532,1919,1,"Garage",12,,"N","DeLisle Company, Inc.","44,97958","-93,10685","N"
4423109,"1276 Taylor Ave W","St. Paul","MN",55104,165000,4,"1,5","Hamline-Midway",1544,5227,1913,2,"Garage",96,,"N","Keller Williams Integrity RE","44,967216","-93,154083","N"
4422210,"1278 Edgerton St","St. Paul","MN",55130,84900,3,"1,75","Payne-Phalen",1381,3920,1891,3,"Garage",99,8/5/2009,"Y","RE/MAX Advantage Plus","44,979755","-93,075775","N"
4429020,"1280 Taylor Ave W","St. Paul","MN",55104,153334,3,1,"Hamline-Midway",1120,5227,1916,2,"Garage",72,29/1/2013,"Y","RE/MAX Results","44,967205","-93,154472","N"
4441606,"1291 Avon St N","St. Paul","MN",55117,439000,4,"2,5","Como",3007,13068,1927,2,"Garage",1,,"N","Keller Williams Integrity Rlty","44,980263","-93,134377","N"
4439282,"1292 Palace Ave","St. Paul","MN",55105,414900,5,"3,5","Macalester-Groveland",2922,4791,2004,2,"Garage",12,,"N","Guardia Properties","44,928524","-93,154785","N"
4406560,"1295 Galtier St","St. Paul","MN",55117,124900,3,"1,5","North End/South Como",1140,6098,1947,4,"Garage",137,,"N","Edina Realty, Inc.","44,980152","-93,111389","N"
4439644,"1298 Bayard Ave","St. Paul","MN",55116,559900,4,"3,25","Highland",2762,4791,2014,4,"Garage",11,30/9/2013,"Y","Oakwood Realty, LLC.","44,92218","-93,155106","N"
4427630,"130 Otis Ave","St. Paul","MN",55104,699900,5,"3,75","Merriam Park/Lexington-Hamline",4500,14810,1927,2,"Garage",77,,"N","Coldwell Banker Burnet","44,945347","-93,196625","N"
4441334,"1305 Marion St","St. Paul","MN",55117,155900,4,"1,5","North End/South Como",1806,5227,1910,1,"Garage",2,21/4/2009,"Y","Keller Williams Premier Realty","44,980534","-93,1101","N"
4431686,"1307 Eleanor Ave","St. Paul","MN",55116,520000,4,"3,5","Highland",2907,4791,2013,2,"Garage",57,5/4/2013,"Y","RE/MAX Specialists","44,920876","-93,155418","N"
4429787,"1315 Englewood Ave","St. Paul","MN",55104,129900,2,1,"Hamline-Midway",1101,,1909,1,"Garage",69,18/11/2013,"Y","Realty Direct REO, LLC","44,964123","-93,155716","N"
